                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.89623,                0.44639,                0.86041,                0.94435,                0.79197,                 0.9048,                0.45401,                 1.6098,                0.65904,                0.76853,                3.1e-05,                3.1e-05,                3.1e-05
                     72,                0.86982,                0.44325,                0.85411,                0.92127,                    0.8,                0.90228,                0.44074,                 1.6209,                0.64586,                0.76748,                  3e-05,                  3e-05,                  3e-05
                     73,                0.86839,                0.43671,                0.84964,                0.92326,                0.79333,                0.88752,                0.42981,                 1.6975,                0.66928,                0.77018,                2.9e-05,                2.9e-05,                2.9e-05
                     74,                0.86929,                0.43055,                0.85338,                0.94611,                0.80667,                0.91419,                 0.4359,                 1.6858,                0.65484,                0.76994,                2.8e-05,                2.8e-05,                2.8e-05
                     75,                0.86684,                0.42852,                0.86167,                 0.9368,                 0.7906,                0.89561,                0.45855,                 1.6251,                0.66525,                0.76865,                2.7e-05,                2.7e-05,                2.7e-05
                     76,                0.86871,                0.43998,                0.85209,                0.95214,                0.79573,                0.90222,                0.42976,                 1.7002,                 0.6865,                0.76805,                2.6e-05,                2.6e-05,                2.6e-05
                     77,                0.84689,                 0.4265,                 0.8449,                 0.9427,                   0.78,                0.90037,                0.45239,                 1.6378,                0.66112,                0.76956,                2.5e-05,                2.5e-05,                2.5e-05
                     78,                0.87449,                 0.4301,                 0.8524,                0.93756,                0.81333,                0.91169,                0.46942,                 1.5864,                 0.6261,                0.76673,                2.4e-05,                2.4e-05,                2.4e-05
                     79,                0.84358,                0.42085,                0.84077,                0.94447,                   0.78,                0.91389,                0.43368,                 1.6688,                0.69632,                0.76835,                2.3e-05,                2.3e-05,                2.3e-05
                     80,                0.85252,                0.43212,                0.84859,                0.92873,                0.78189,                0.90344,                0.43559,                 1.6627,                0.65424,                0.77066,                2.2e-05,                2.2e-05,                2.2e-05
                     81,                0.83174,                0.42058,                0.84025,                0.94253,                0.80667,                0.91811,                0.45165,                 1.6237,                0.64238,                0.76796,                2.1e-05,                2.1e-05,                2.1e-05
